,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
592,2021-07-25 14:16,Serhat Durmus,La Câlin,8090,Serhat Durmus:La Câlin,0,,
593,2021-07-25 14:16,Selena Gomez,Lose You To Love Me,2125,Selena Gomez:Lose You To Love Me,1,Rare,4l0Mvzj72xxOpRrp6h8nHi
594,2021-07-25 14:16,Serhat Durmus,Hislerim,214204,Serhat Durmus:Hislerim,1,Hislerim,32Mh7kOCWmNTZgre0cGvCV
595,2021-07-25 14:17,Serhat Durmus,Intro,21110,Serhat Durmus:Intro,0,,
596,2021-07-25 14:17,Serhat Durmus,Me and U (Intro),10100,Serhat Durmus:Me and U (Intro),0,,
597,2021-07-25 14:18,John Legend,Wild (feat. Gary Clark Jr.),9710,John Legend:Wild (feat. Gary Clark Jr.),0,,
598,2021-07-25 14:18,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),9420,Maroon 5:Beautiful Mistakes (feat. Megan Thee Stallion),0,,
599,2021-07-25 14:18,SAPPHIRE,Unity (Acoustic),60650,SAPPHIRE:Unity (Acoustic),0,,
600,2021-07-25 14:19,The Weeknd,Blinding Lights,29690,The Weeknd:Blinding Lights,0,,
601,2021-07-25 17:52,Serhat Durmus,Hislerim,212930,Serhat Durmus:Hislerim,1,Hislerim,32Mh7kOCWmNTZgre0cGvCV
602,2021-07-25 17:55,Imagine Dragons,Radioactive,186813,Imagine Dragons:Radioactive,1,Night Visions,62yJjFtgkhUrXktIoSjgP2
603,2021-07-25 18:14,Imagine Dragons,Bad Liar – Stripped,206790,Imagine Dragons:Bad Liar – Stripped,1,Bad Liar – Stripped,6hFi0gXP8KItwMqfBgf44b
